Afghanistan,Afghanistani Afghani,Afghani,AFN,؋
Armenia,Armenian Dram,Dram,AMD,դր
Azerbaijan,Azerbaijani Manat,Manat,AZN,₼
Bahrain,Bahraini Dinar,Dinar,BHD,.د.ب
Bangladesh,Bangladeshi Taka,Taka,BDT,৳
Bhutan,Bhutanese Ngultrum,Ngultrum,BTN,Nu.
Brunei,Brunei Dollar,Dollar,BND,$
Cambodia,Cambodian Riel,Riel,KHR,៛
China,Chinese Yuan Renminbi,Renminbi,CNY,¥
Cyprus,Cypriot Pound,Pound,CYP,£
Georgia,Georgian Lari,Lari,GEL,ლ
India,Indian Rupee,Rupee,INR,₹
Indonesia,Indonesian Rupiah,Rupiah,IDR,Rp
Iran,Iranian Rial,Rial,IRR,﷼
Iraq,Iraqi Dinar,Dinar,IQD,ع.د
Israel,Israeli New Sheqel,Sheqel,ILS,₪
Japan,Japanese Yen,Yen,JPY,¥
Jordan,Jordanian Dinar,Dinar,JOD,د.ا
Kazakhstan,Kazakhstani Tenge,Tenge,KZT,лв
Kuwait,Kuwaiti Dinar,Dinar,KWD,د.ك
Kyrgyzstan,Kyrgyzstani Som,Som,KGS,лв
Laos,Lao Kip,Kip,LAK,₭
Lebanon,Lebanese Pound,Pound,LBP,£
Malaysia,Malaysian Ringgit,Ringgit,MYR,RM
Maldives,Maldives Rufiyaa,Rufiyaa,MVR,Rf
Mongolia,Mongolian Tugrik,Tugrik,MNT,₮
Myanmar (Burma),Myanmar Kyat,Kyat,MMK,K
Nepal,Nepalese Rupee,Rupee,NPR,₨
North Korea,North Korean Won,Won,KPW,₩
Oman,Omani Rial,Rial,OMR,﷼
Pakistan,Pakistan Rupee,Rupee,PKR,₨
Palestine,Jordanian Dinar,Dinar,JOD,د.ا
Philippines,Philippine Peso,Peso,PHP,₱
Qatar,Qatari Riyal,Riyal,QAR,﷼
Russia,Russian Ruble,Ruble,RUB,₽
Saudi Arabia,Saudi Arabian Riyal,Riyal,SAR,﷼
Singapore,Singapore Dollar,Dollar,SGD,$
South Korea,Korean Won,Won,KRW,₩
Sri Lanka,Sri Lankan Rupee,Rupee,LKR,₨
Syria,Syrian Pound,Pound,SYP,£
Taiwan,New Taiwan Dollar,Dollar,TWD,NT$
Tajikistan,Tajikistan Somoni,Somoni,TJS,ЅM
Thailand,Thai Baht,Baht,THB,฿
Timor-Leste,United States Dollar,Dollar,USD,$
Turkey,Turkish New Lira,Lira,TRY,TL
Turkmenistan,Turkmenistani Manat,Manat,TMM,T
United Arab Emirates (UAE),United Arab Emirates Dirham,Dirham,AED,د.إ
Uzbekistan,Uzbekistani Som,Som,UZS,лв
Vietnam,Viet Nam Dong,Dong,VND,₫
Yemen,Yemeni Rial,Rial,YER,﷼
Algeria,Algerian Dinar,Dinar,DZD,دج
Angola,Angolan Kwanza,Kwanza,AOA,Kz
Benin,West African CFA,CFA,XOF,CFA
Botswana,Botswana Pula,Pula,BWP,P
Burkina Faso,West African CFA,CFA,XOF,CFA
Burundi,Burundian Franc,Franc,BIF,FBu
Cabo Verde,Cape Verde Escudo,Escudo,CVE,$
Cameroon,Central African CFA,CFA,XAF,FCFA
Central African Republic (CAR),Central African CFA,CFA,XAF,FCFA
Chad,Central African CFA,CFA,XAF,FCFA
Comoros,Comorian Franc,Franc,KMF,CF
Democratic Republic of the Congo,Congolese franc,franc,CDF,FC
Republic of the Congo,Central African CFA,CFA,XAF,FCFA
Cote d'Ivoire,West African CFA,CFA,XOF,CFA
Djibouti,Djiboutian Franc,Franc,DJF,Fdj
Egypt,Egyptian Pound,Pound,EGP,£
Equatorial Guinea,Central African CFA,CFA,XAF,FCFA
Eritrea,Eritrean Nakfa,Nakfa,ERN,ናቕፋ
Ethiopia,Ethiopian Birr,Birr,ETB,ብር
Gabon,Central African CFA,CFA,XAF,FCFA
Gambia,Gambian Dalasi,Dalasi,GMD,D
Ghana,Ghanaian Cedi,Cedi,GHC,GH₵
Guinea,Guinean Franc,Franc,GNF,FG
Guinea-Bissau,West African CFA,CFA,XOF,CFA
Kenya,Kenyan Shilling,Shilling,KES,"KSh,"
Lesotho,Lesotho Loti,Loti,LSL,L
Liberia,Liberian Dollar,Dollar,LRD,$
Libya,Libyan Dinar,Dinar,LYD,ل.د
Madagascar,Malagasy Ariary,Ariary,MGA,Ar
Malawi,Malawian Kwacha,Kwacha,MWK,MK
Mali,West African CFA,CFA,XOF,CFA
Mauritania,Mauritanian Ouguiya,Ouguiya,MRO,UM
Mauritius,Mauritian Rupee,Rupee,MUR,₨
Morocco,Moroccan Dirham,Dirham,MAD,DH
Mozambique,Mozambican Metical,Metical,MZN,MT
Namibia,Namibian Dollar,Dollar,NAD,$
Niger,West African CFA,CFA,XOF,CFA
Nigeria,Nigerian Naira,Naira,NGN,₦
Rwanda,Rwandan Franc,Franc,RWF,FRw
Sao Tome and Principe,Sao Tome Dobra,Dobra,STD,Db
Senegal,West African CFA,CFA,XOF,CFA
Seychelles,Seychelles Rupee,Rupee,SCR,₨
Sierra Leone,Sierra Leonean Leone,Leone,SLL,Le
Somalia,Somali Shilling,Shilling,SOS,S
South Africa,South African Rand,Rand,ZAR,R
South Sudan,South Sudanese pound,pound,SSP,£
Sudan,Sudanese pound,pound,SDG,SD
Swaziland,Swazi Lilangeni,Lilangeni,SZL,E
Tanzania,Tanzanian Shilling,Shilling,TZS,TSh
Togo,West African CFA,CFA,XOF,CFA
Tunisia,Tunisian Dinar,Dinar,TND,د.ت
Uganda,Ugandan Shilling,Shilling,UGX,USh
Zambia,Zambian Kwacha,Kwacha,ZMK,ZK
Zimbabwe,Zimbabwean Dollar,Dollar,ZWD,Z$
Albania,Albanian Lek,Lek,ALL,Lek
Andorra,European Euro,Euro,EUR,€
Armenia,Armenian Dram,Dram,AMD,դր
Austria,European Euro,Euro,EUR,€
Azerbaijan,Azerbaijani Manat,Manat,AZN,₼
Belarus,Belarusian Ruble,Ruble,BYR,Br
Belgium,European Euro,Euro,EUR,€
Bosnia and Herzegovina,Bosnia-Herzegovina Convertible Mark,Mark,BAM,KM
Bulgaria,Bulgarian Lev,Lev,BGN,лв
Croatia,Croatian Kuna,Kuna,HRK,kn
Cyprus,Cypriot Pound,Pound,CYP,£
Czech Republic,Czech Koruna,Koruna,CZK,Kč
Denmark,Danish Krone,Krone,DKK,kr
Estonia,Estonian Kroon,Kroon,EEK,EEK
Finland,European Euro,Euro,EUR,€
France,European Euro,Euro,EUR,€
Georgia,Georgian Lari,Lari,GEL,ლ
Germany,European Euro,Euro,EUR,€
Greece,European Euro,Euro,EUR,€
Hungary,Hungarian Forint,Forint,HUF,Ft
Iceland,Icelandic Krona,Krona,ISK,kr
Ireland,European Euro,Euro,EUR,€
Italy,European Euro,Euro,EUR,€
Kazakhstan,Kazakhstani Tenge,Tenge,KZT,лв
Kosovo,Euro,Euro,EUR,€
Latvia,Latvian Lats,Lats,LVL,Ls
Liechtenstein,Swiss Franc,Franc,CHF,CHF
Lithuania,Lithuanian Litas,Litas,LTL,Lt
Luxembourg,European Euro,Euro,EUR,€
Macedonia (FYROM),Macedonian Denar,Denar,MKD,ден
Malta,Maltese Lira,Lira,MTL,₤
Moldova,Moldovan Leu,Leu,MDL,L
Monaco,European Euro,Euro,EUR,€
Montenegro,European Euro,Euro,EUR,€
Netherlands,European Euro,Euro,EUR,€
Norway,Norwegian Krone,Krone,NOK,kr
Poland,Polish Zloty,Zloty,PLN,zł
Portugal,European Euro,Euro,EUR,€
Romania,Romanian Leu,Leu,RON,lei
Russia,Russian Ruble,Ruble,RUB,₽
San Marino,European Euro,Euro,EUR,€
Serbia,Serbian Dinar,Dinar,RSD,Дин.
Slovakia,Slovak Koruna,Koruna,SKK,Sk
Slovenia,European Euro,Euro,EUR,€
Spain,European Euro,Euro,EUR,€
Sweden,Swedish Krona,Krona,SEK,kr
Switzerland,Swiss Franc,Franc,CHF,CHF
Turkey,Turkish New Lira,Lira,TRY,TL
Ukraine,Ukrainian Hryvnia,Hryvnia,UAH,₴
United Kingdom (UK),United Kingdom Pound Sterling,Sterling,GBP,£
Vatican City (Holy See),European Euro,Euro,EUR,€
Antigua and Barbuda,East Caribbean Dollar,Dollar,XCD,$
Bahamas,Bahamian Dollar,Dollar,BSD,$
Barbados,Barbados Dollar,Dollar,BBD,$
Belize,Belize Dollar,Dollar,BZD,BZ$
Canada,Canadian Dollar,Dollar,CAD,$
Costa Rica,Costa Rican Colon,Colon,CRC,₡
Cuba,Cuban Convertible Peso,Peso,CUC,$
Dominica,East Caribbean Dollar,Dollar,XCD,$
Dominican Republic,Dominican Peso,Peso,DOP,RD$
El Salvador,United States Dollar,Dollar,USD,$
Grenada,East Caribbean Dollar,Dollar,XCD,$
Guatemala,Guatemalan Quetzal,Quetzal,GTQ,Q
Haiti,Haitian Gourde,Gourde,HTG,G
Honduras,Honduran Lempira,Lempira,HNL,L
Jamaica,Jamaican Dollar,Dollar,JMD,J$
Mexico,Mexican Peso,Peso,MXN,$
Nicaragua,Nicaraguan Córdoba,Córdoba,NIO,C$
Panama,Panamanian Balboa,Balboa,PAB,B/.
Saint Kitts and Nevis,East Caribbean Dollar,Dollar,XCD,$
Saint Lucia,East Caribbean Dollar,Dollar,XCD,$
Saint Vincent and the Grenadines,East Caribbean Dollar,Dollar,XCD,$
Trinidad and Tobago,Trinidad and Tobago Dollar,Dollar,TTD,TT$
United States,United States Dollar,Dollar,USD,$
Argentina,Argentine Peso,Peso,ARS,$
Bolivia,Bolivian Boliviano,Boliviano,BOB,$b
Brazil,Brazilian Real,Real,BRL,R$
Chile,Chilean Peso,Peso,CLP,$
Colombia,Colombian Peso,Peso,COP,$
Ecuador,United States Dollar,Dollar,USD,$
Guyana,Guyanese Dollar,Dollar,GYD,$
Paraguay,Paraguay Guarani,Guarani,PYG,Gs
Peru,Peruvian Nuevo Sol,Sol,PEN,S/.
Suriname,Suriname Dollar,Dollar,SRD,$
Uruguay,Uruguayan peso,peso,UYU,$U
Venezuela,Venezuelan Bolivar,Bolivar,VEF,Bs
Country,Currency,Currency,Code,Symbol
Australia,Australian Dollar,Dollar,AUD,$
Fiji,Fiji Dollar,Dollar,FJD,$
Kiribati,Australian Dollar,Dollar,AUD,$
Marshall Islands,United States Dollar,Dollar,USD,$
Micronesia,United States Dollar,Dollar,USD,$
Nauru,Australian Dollar,Dollar,AUD,$
New Zealand,New Zealand Dollar,Dollar,NZD,$
Palau,United States Dollar,Dollar,USD,$
Papua New Guinea,Papua New Guinea Kina,Kina,PGK,K
Samoa,Samoan Tala,Tala,WST,WS$
Solomon Islands,Solomon Islands Dollar,Dollar,SBD,$
Tonga,Tongan Pa'Anga,Pa'Anga,TOP,T$
Tuvalu,Australian Dollar,Dollar,AUD,$
Vanuatu,Vanuatu Vatu,Vatu,VUV,VT